Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage,Bet Hit,Actual Value
Andrew Nembhard,OKL,Under 8.5 REB+AST,-114,Hit in 4 of his last 4 games,100%,True,4.0
Andrew Nembhard,OKL,Under 8.5 REB+AST,-114,Hit in 4 of his last 4 games vs OKL,100%,True,4.0
Andrew Nembhard,OKL,Under 4.5 Assists,118,Hit in 4 of his last 4 games,100%,True,4.0
Andrew Nembhard,OKL,Under 4.5 Assists,118,Hit in 4 of his last 4 games vs OKL,100%,True,4.0
Andrew Nembhard,OKL,Under 19.5 PTS+AST+REB,-118,Hit in 4 of his last 4 games,100%,False,27.0
Andrew Nembhard,OKL,Under 19.5 PTS+AST+REB,-118,Hit in 4 of his last 4 games vs OKL,100%,False,27.0
Tyrese Haliburton,OKL,Over 13.5 Points,100,Hit in 5 of his last 5 home games,100%,True,20.0
Myles Turner,OKL,Under 1.5 3PTM,-136,Hit in 4 of his last 4 games,100%,True,0.0
Myles Turner,OKL,Under 1.5 3PTM,-136,Hit in 4 of his last 4 games vs OKL,100%,True,0.0
Pascal Siakam,OKL,Over 0.5 Steals,-225,Hit in 4 of his last 4 home games,100%,False,0.0
Bennedict Mathurin,OKL,Under 1.5 Assists,-270,Hit in 4 of his last 4 games,100%,True,1.0
Bennedict Mathurin,OKL,Under 1.5 Assists,-270,Hit in 4 of his last 4 games vs OKL,100%,True,1.0
Bennedict Mathurin,OKL,Over 0.5 3PTM,-170,Hit in 4 of his last 4 games,100%,False,0.0
Bennedict Mathurin,OKL,Over 0.5 3PTM,-170,Hit in 4 of his last 4 games vs OKL,100%,False,0.0
Isaiah Hartenstein,IND,Under 12.5 PTS+REB,-130,Hit in 4 of his last 4 games,100%,False,14.0
Isaiah Hartenstein,IND,Under 12.5 PTS+REB,-130,Hit in 4 of his last 4 games vs IND,100%,False,14.0
Isaiah Hartenstein,IND,Under 5.5 Points,-128,Hit in 4 of his last 4 games vs IND,100%,False,10.0
Isaiah Hartenstein,IND,Under 5.5 Points,-128,Hit in 4 of his last 4 games,100%,False,10.0
Jalen Williams,IND,Under 10.5 REB+AST,-132,Hit in 5 of his last 5 games,100%,True,4.0
Jalen Williams,IND,Under 10.5 REB+AST,-132,Hit in 7 of his last 7 games vs IND,100%,True,4.0
Jalen Williams,IND,Under 1.5 Steals,-186,Hit in 6 of his last 6 games,100%,True,0.0
Jalen Williams,IND,Under 1.5 Steals,-186,Hit in 7 of his last 7 games vs IND,100%,True,0.0
Shai Gilgeous-Alexander,IND,Under 1.5 3PTM,-122,Hit in 4 of his last 4 games vs IND,100%,True,0.0
Shai Gilgeous-Alexander,IND,Under 1.5 3PTM,-122,Hit in 4 of his last 4 games,100%,True,0.0
Chet Holmgren,IND,Under 1.5 3PTM,-225,Hit in 5 of his last 5 games,100%,True,0.0
Chet Holmgren,IND,Under 1.5 3PTM,-225,Hit in 6 of his last 6 games vs IND,100%,True,0.0
Tyrese Haliburton,OKL,Over 0.5 Steals,-188,Hit in 5 of his last 5 home games,100%,True,2.0
Tyrese Haliburton,OKL,Over 2.5 Turnovers,-145,Hit in 6 of his last 6 games,100%,False,1.0
