Player Name,Matchup,Market,Odds
G. Antetokounmpo,VS UTA,Under 0.5 3PTM,-354
G. Antetokounmpo,VS UTA,Over 0.5 Double Double,-320
J. Giddey,VS MIN,Under 1.5 STL+BLK,-224
J. Giddey,VS MIN,Over 0.5 3PTM,-234
J. Giddey,VS MIN,Under 0.5 Blocks,-264
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
J. Giddey,VS MIN,Under 2.5 Turnovers,-125
P. Williams,VS MIN,Under 1.5 STL+BLK,-169
N. Vučević,VS MIN,Over 9.5 Rebounds,-139
N. Vučević,VS MIN,Over 9.5 Rebounds,-139
N. Vučević,VS MIN,Over 0.5 1Q Assists,-160
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
N. Vučević,VS MIN,Over 1.5 STL+BLK,+108
N. Vučević,VS MIN,Over 1.5 3PTM,-109
N. Vučević,VS MIN,Over 0.5 Double Double,-115
N. Vučević,VS MIN,Over 0.5 Double Double,-115
N. Vučević,VS MIN,Over 2.5 Assists,-204
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
C. White,VS MIN,Under 3.5 1Q Points,+124
C. White,VS MIN,Over 0.5 Steals,-180
J. Randle,@ CHI,Over 1.5 3PTM,+118
J. Randle,@ CHI,Under 0.5 Blocks,-384
R. Gobert,@ CHI,Under 2.5 1Q Rebounds,-103
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
M. Conley,@ CHI,Under 0.5 Blocks,-354
M. Conley,@ CHI,Over 4.5 Assists,-130
M. Conley,@ CHI,Over 7.5 REB+AST,-127
M. Conley,@ CHI,Over 2.5 1Q Points,+106
M. Conley,@ CHI,Over 1.5 3PTM,-157
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
N. Reid,@ CHI,Under 5.5 Rebounds,-110
N. Reid,@ CHI,Over 1.5 Assists,-131
N. Reid,@ CHI,Under 7.5 REB+AST,-145
D. DiVincenzo,@ CHI,Over 3.5 Rebounds,+132
D. DiVincenzo,@ CHI,Over 1.5 Turnovers,+114
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
D. DiVincenzo,@ CHI,Over 0.5 1Q Assists,-115
D. DiVincenzo,@ CHI,Over 0.5 1Q Assists,-115
D. DiVincenzo,@ CHI,Over 6.5 REB+AST,+102
D. DiVincenzo,@ CHI,Over 2.5 1Q Points,-106
J. McDaniels,@ CHI,Over 1.5 Assists,+108
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
J. McDaniels,@ CHI,Over 14.5 P+A+R,-109
J. McDaniels,@ CHI,Over 2.5 1Q Points,+100
J. McDaniels,@ CHI,Over 0.5 Turnovers,-199
J. McDaniels,@ CHI,Under 0.5 1Q Assists,-304
A. Edwards,@ CHI,Over 2.5 Turnovers,-127
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
N. Alexander-Walker,@ CHI,Over 1.5 Rebounds,-142
N. Alexander-Walker,@ CHI,Under 0.5 1Q Points,-139
N. Alexander-Walker,@ CHI,Over 4.5 REB+AST,-139
N. Alexander-Walker,@ CHI,Under 0.5 Blocks,-244
N. Alexander-Walker,@ CHI,Under 0.5 1Q Rebounds,-234
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
N. Alexander-Walker,@ CHI,Over 0.5 Turnovers,-179
N. Alexander-Walker,@ CHI,Over 2.5 Assists,-160
G. Antetokounmpo,VS UTA,Over 2.5 1Q Rebounds,-131
L. Markkanen,@ MIL,Over 1.5 1Q Rebounds,-137
L. Markkanen,@ MIL,Over 4.5 1Q Points,-128
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
K. Johnson,VS POR,Under 0.5 1Q Assists,-254
K. Johnson,VS POR,Over 0.5 Steals,-179
C. Paul,VS POR,Under 24.5 P+A+R,-113
C. Paul,VS POR,Over 1.5 3PTM,-156
Z. Collins,VS POR,Under 6.5 REB+AST,-129
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
Z. Collins,VS POR,Over 0.5 1Q Assists,-154
H. Barnes,VS POR,Over 0.5 Steals,-128
H. Barnes,VS POR,Under 0.5 1Q Assists,-179
H. Barnes,VS POR,Over 0.5 Turnovers,-151
H. Barnes,VS POR,Over 0.5 STL+BLK,-199
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
H. Barnes,VS POR,Under 1.5 1Q Rebounds,-224
S. Castle,VS POR,Under 5.5 REB+AST,+126
S. Castle,VS POR,Under 1.5 Turnovers,-224
S. Castle,VS POR,Under 2.5 Assists,-137
S. Castle,VS POR,Under 0.5 1Q Assists,-115
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
M. Branham,VS POR,Over 0.5 Turnovers,-244
M. Branham,VS POR,Over 0.5 Turnovers,-244
J. Champagnie,VS POR,Over 0.5 Steals,-199
J. Champagnie,VS POR,Under 1.5 1Q Rebounds,-204
T. Camara,@ SAS,Under 0.5 1Q Assists,-145
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
T. Camara,@ SAS,Under 1.5 1Q Rebounds,-234
T. Camara,@ SAS,Over 0.5 3PTM,-234
T. Camara,@ SAS,Over 1.5 1Q Points,-174
T. Camara,@ SAS,Over 1.5 STL+BLK,-104
T. Camara,@ SAS,Over 1.5 STL+BLK,-104
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
D. Avdija,@ SAS,Over 6.5 Rebounds,+118
D. Avdija,@ SAS,Over 0.5 Steals,-166
D. Avdija,@ SAS,Over 8.5 REB+AST,-131
D. Avdija,@ SAS,Over 13.5 PTS+AST,-121
J. Grant,@ SAS,Over 0.5 1Q Rebounds,-184
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
J. Grant,@ SAS,Over 0.5 1Q Rebounds,-184
J. Grant,@ SAS,Over 0.5 1Q Rebounds,-184
A. Simons,@ SAS,Under 3.5 Rebounds,-163
A. Simons,@ SAS,Over 24.5 PTS+REB,-113
A. Simons,@ SAS,Under 1.5 1Q Assists,-148
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
A. Simons,@ SAS,Over 2.5 3PTM,-178
A. Simons,@ SAS,Under 2.5 Turnovers,-135
A. Simons,@ SAS,Under 5.5 1Q Points,-148
D. Ayton,@ SAS,Over 1.5 Turnovers,+110
D. Ayton,@ SAS,Over 16.5 PTS+AST,-121
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
D. Ayton,@ SAS,Over 0.5 Double Double,-145
D. Ayton,@ SAS,Over 14.5 Points,-120
J. Giddey,VS MIN,Under 12.5 REB+AST,-120
D. Avdija,@ SAS,Over 19.5 P+A+R,-145
N. Vučević,VS MIN,Over 0.5 Steals,-148
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
N. Reid,@ CHI,Under 18.5 PTS+REB,-115
C. Paul,VS POR,Under 15.5 PTS+REB,-115
C. Paul,VS POR,Under 20.5 PTS+AST,-118
M. Branham,VS POR,Over 1.5 1Q Points,-151
D. Avdija,@ SAS,Over 16.5 PTS+REB,-120
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
J. Champagnie,VS POR,Under 7.5 REB+AST,-137
M. Conley,@ CHI,Over 8.5 Points,-114
M. Conley,@ CHI,Over 13.5 PTS+AST,-115
J. McDaniels,@ CHI,Over 12.5 PTS+REB,-129
A. Simons,@ SAS,Over 20.5 Points,+100
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
D. Ayton,@ SAS,Over 10.5 Rebounds,-120
D. Ayton,@ SAS,Over 25.5 PTS+REB,-115
D. Lillard,VS UTA,Over 33.5 PTS+AST,-113
D. Lillard,VS UTA,Over 38.5 P+A+R,-106
K. George,@ MIL,Over 1.5 1Q Assists,-145
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
K. George,@ MIL,Over 15.5 Points,-122
W. Kessler,@ MIL,Under 11.5 REB+AST,-131
W. Kessler,@ MIL,Under 1.5 Turnovers,-224
W. Kessler,@ MIL,Under 2.5 1Q Points,-179
W. Kessler,@ MIL,Over 1.5 Blocks,-184
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
W. Kessler,@ MIL,Over 1.5 Blocks,-184
W. Kessler,@ MIL,Under 10.5 Rebounds,-128
W. Kessler,@ MIL,Over 2.5 STL+BLK,-123
W. Kessler,@ MIL,Over 2.5 STL+BLK,-123
J. Giddey,VS MIN,Under 19.5 PTS+AST,-118
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
J. Giddey,VS MIN,Under 13.5 Points,-120
N. Vučević,VS MIN,Over 21.5 PTS+AST,-148
N. Vučević,VS MIN,Over 31.5 P+A+R,-129
N. Vučević,VS MIN,Over 31.5 P+A+R,-129
N. Vučević,VS MIN,Over 18.5 Points,-104
G. Antetokounmpo,VS UTA,Over 6.5 Assists,-124
N. Vučević,VS MIN,Over 28.5 PTS+REB,-109
C. White,VS MIN,Under 1.5 STL+BLK,-244
A. Dosunmu,VS MIN,Under 1.5 3PTM,-125
A. Dosunmu,VS MIN,Under 0.5 Steals,+114
A. Dosunmu,VS MIN,Under 1.5 STL+BLK,-184
G. Antetokounmpo,VS UTA,Over 0.5 Blocks,-139
A. Dosunmu,VS MIN,Over 3.5 Rebounds,-118
K. George,@ MIL,Over 25.5 P+A+R,-113
C. Paul,VS POR,Under 4.5 Rebounds,-168
Z. Collins,VS POR,Under 3.5 Rebounds,+126
