Player Name,Matchup,Market,Odds
D. Johnson,VS CIN,Over 0.5 Anytime TD,+440
D. Johnson,VS CIN,Over 1.5 Receptions,-146
D. Johnson,VS CIN,Over 1.5 Receptions,-146
J. Tucker,VS CIN,Over 1.5 FGM,-127
J. Tucker,VS CIN,Over 1.5 FGM,-127
J. Tucker,VS CIN,Over 2.5 XPM,-179
J. Tucker,VS CIN,Over 2.5 XPM,-179
J. Tucker,VS CIN,Over 2.5 XPM,-179
Z. Flowers,VS CIN,Under 11.5 1Q Rec Yds,-106
Z. Flowers,VS CIN,Over 4.5 Receptions,-152
Z. Flowers,VS CIN,Over 4.5 Receptions,-152
D. Henry,VS CIN,Over 0.5 Anytime TD,-240
D. Henry,VS CIN,Over 0.5 Anytime TD,-240
D. Henry,VS CIN,Over 0.5 Anytime TD,-240
D. Henry,VS CIN,Over 18.5 Rush Att,-102
R. Bateman,VS CIN,Over 0.5 Anytime TD,+410
R. Bateman,VS CIN,Over 2.5 Receptions,+110
L. Jackson,VS CIN,Under 0.5 Int,-139
L. Jackson,VS CIN,Under 0.5 Int,-139
L. Jackson,VS CIN,Over 1.5 Pass TD,-128
L. Jackson,VS CIN,Over 1.5 Pass TD,-128
L. Jackson,VS CIN,Over 64.5 1Q Pass + Rush Yds,-115
L. Jackson,VS CIN,Over 8.5 Rush Att,-120
J. Burrow,@ BAL,Over 23.5 Pass Compl,-146
J. Burrow,@ BAL,Over 8.5 Rush Yds,-110
J. Burrow,@ BAL,Over 0.5 Int,-166
C. Brown,@ BAL,Over 0.5 Anytime TD,+100
C. Brown,@ BAL,Under 85.5 Rush + Rec Yds,-114
J. Chase,@ BAL,Over 0.5 Anytime TD,-115
J. Chase,@ BAL,Under 80.5 Rush + Rec Yds,-117
C. Brown,@ BAL,Under 3.5 Receptions,-102
R. Bateman,VS CIN,Under 29.5 Rush + Rec Yds,-110
J. Burrow,@ BAL,Over 2.5 Rush Att,-160
J. Burrow,@ BAL,Over 2.5 Rush Att,-160
J. Burrow,@ BAL,Under 268.5 Pass Yds,-110
J. Burrow,@ BAL,Under 279.5 Pass + Rush Yds,-114
M. Andrews,VS CIN,Under 42.5 Rec Yds,-110
J. Burrow,@ BAL,Over 36.5 Pass Att,-106
J. Chase,@ BAL,Under 83.5 Rec Yds,-110
J. Chase,@ BAL,Over 6.5 Receptions,-160
D. Johnson,VS CIN,Over 0.5 1Q Rec Yds,+164
D. Johnson,VS CIN,Over 0.5 1Q Rec Yds,+164
R. Bateman,VS CIN,Under 0.5 1Q Rec Yds,-142
M. Gesicki,@ BAL,Over 4.5 Receptions,+108
J. Burrow,@ BAL,Under 55.5 1Q Pass Yds,-110
A. Iosivas,@ BAL,Under 2.5 Receptions,-165
C. Brown,@ BAL,Over 0.5 1Q Rec Yds,-114
C. Brown,@ BAL,Over 0.5 1Q Rec Yds,-114
M. Gesicki,@ BAL,Over 50.5 Rec Yds,-110
M. Gesicki,@ BAL,Over 8.5 1Q Rec Yds,-106
L. Jackson,VS CIN,Under 8.5 1Q Rush Yds,-108
C. Kolar,VS CIN,Over 0.5 1Q Rec Yds,+235
C. Kolar,VS CIN,Under 1.5 Receptions,-140
J. Burrow,@ BAL,Under 0.5 1Q Rush Yds,-265
A. Iosivas,@ BAL,Under 0.5 1Q Rec Yds,-178
J. Chase,@ BAL,Under 17.5 1Q Rec Yds,-114
R. Bateman,VS CIN,Under 30.5 Rec Yds,-110
L. Jackson,VS CIN,Over 50.5 1Q Pass Yds,-112
L. Jackson,VS CIN,Over 50.5 1Q Pass Yds,-112
L. Jackson,VS CIN,Over 50.5 1Q Pass Yds,-112
Z. Flowers,VS CIN,Over 61.5 Rec Yds,-110
Z. Flowers,VS CIN,Over 61.5 Rec Yds,-110
Z. Flowers,VS CIN,Over 64.5 Rush + Rec Yds,-115
Z. Flowers,VS CIN,Over 64.5 Rush + Rec Yds,-115
D. Henry,VS CIN,Under 20.5 1Q Rush Yds,-106
L. Jackson,VS CIN,Over 291.5 Pass + Rush Yds,-114
J. Burrow,@ BAL,Under 57.5 1Q Pass + Rush Yds,-114
C. Brown,@ BAL,Under 56.5 Rush Yds,-110
D. Johnson,VS CIN,Over 18.5 Rush + Rec Yds,-115
D. Henry,VS CIN,Over 0.5 Receptions,-235
D. Henry,VS CIN,Over 0.5 Receptions,-235
D. Henry,VS CIN,Over 100.5 Rush + Rec Yds,-115
D. Henry,VS CIN,Over 88.5 Rush Yds,-110
D. Henry,VS CIN,Over 88.5 Rush Yds,-110
N. Agholor,VS CIN,Over 10.5 Rec Yds,-120
N. Agholor,VS CIN,Over 10.5 Rec Yds,-120
N. Agholor,VS CIN,Under 1.5 Receptions,-235
N. Agholor,VS CIN,Over 10.5 Rush + Rec Yds,-120
N. Agholor,VS CIN,Over 10.5 Rush + Rec Yds,-120
A. Iosivas,@ BAL,Under 24.5 Rush + Rec Yds,-115
C. Brown,@ BAL,Under 24.5 Rec Yds,-110
J. Burton,@ BAL,Under 1.5 Receptions,-115
D. Johnson,VS CIN,Over 18.5 Rec Yds,-110
J. Hill,VS CIN,Under 15.5 Rec Yds,-110
L. Jackson,VS CIN,Over 47.5 Rush Yds,-110
L. Jackson,VS CIN,Over 239.5 Pass Yds,-110
L. Jackson,VS CIN,Over 239.5 Pass Yds,-110
L. Jackson,VS CIN,Over 239.5 Pass Yds,-110
C. Brown,@ BAL,Under 14.5 Rush Att,+106
J. Burton,@ BAL,Over 16.5 Rec Yds,-125
J. Burton,@ BAL,Over 17.5 Rush + Rec Yds,-110
X. Legette,VS NYG,Over 0.5 Anytime TD,+350
X. Legette,VS NYG,Over 0.5 Anytime TD,+350
B. Young,VS NYG,Over 0.5 Pass TD,-168
B. Young,VS NYG,Over 0.5 Int,-135
B. Young,VS NYG,Over 0.5 Int,-135
D. Jones,@ CAR,Over 204.5 Pass Yds,-114
D. Jones,@ CAR,Over 20.5 Pass Compl,+100
D. Jones,@ CAR,Over 31.5 Pass Att,+102
E. Pineiro,VS NYG,Under 1.5 FGM,-165
E. Pineiro,VS NYG,Over 1.5 XPM,+105
E. Pineiro,VS NYG,Over 1.5 XPM,+105
C. Hubbard,VS NYG,Under 15.5 Rush Att,-130
B. Young,VS NYG,Under 10.5 Rush Yds,-114
D. Jones,@ CAR,Over 44.5 1Q Pass Yds,-114
D. Jones,@ CAR,Over 234.5 Pass + Rush Yds,-114
