Player Name,Matchup,Market,Odds,Trend Context,Linemate Percentage
X. Legette,VS NYG,Over 0.5 Anytime TD,+330,Hit in 2 of his last 2 games,100%
X. Legette,VS NYG,Over 0.5 Anytime TD,+330,Hit in 3 of his last 3 home games,100%
B. Young,VS NYG,Over 0.5 Pass TD,-184,Hit in 2 of his last 2 games,100%
B. Young,VS NYG,Over 0.5 Int,-140,Hit in 2 of his last 2 games,100%
B. Young,VS NYG,Over 0.5 Int,-140,Hit in 2 of his last 2 home games,100%
B. Robinson,@ NO,Over 0.5 Anytime TD,-140,Hit in 3 of his last 4 games,75%
E. Pineiro,VS NYG,Under 1.5 FGM,-145,Hit in 3 of his last 3 games,100%
E. Pineiro,VS NYG,Over 1.5 XPM,-105,Hit in 2 of his last 2 games,100%
E. Pineiro,VS NYG,Over 1.5 XPM,-105,Hit in 3 of his last 3 home games,100%
C. Hubbard,VS NYG,Under 15.5 Rush Att,-130,Hit in 2 of his last 2 games,100%
D. Jones,@ CAR,Over 44.5 1Q Pass Yds,-113,Hit in 3 of his last 3 away games,100%
B. Young,VS NYG,Over 0.5 Int,-140,Hit in 2 of his last 2 games,100%
M. Nabers,@ CAR,Over 6.5 Receptions,-128,Hit in 2 of his last 2 games,100%
M. Nabers,@ CAR,Over 6.5 Receptions,-128,Hit in 3 of his last 3 away games,100%
W. Robinson,@ CAR,Over 4.5 Receptions,-184,Hit in 3 of his last 3 away games,100%
C. Hubbard,VS NYG,Over 65.5 Rush Yds,-113,Hit in 3 of his last 3 home games,100%
B. Young,VS NYG,Over 2.5 Rush Att,-125,Hit in 2 of his last 2 games,100%
X. Legette,VS NYG,Over 0.5 Anytime TD,+330,Hit in 2 of his last 2 games,100%
X. Legette,VS NYG,Over 3.5 Receptions,-114,Hit in 2 of his last 2 games,100%
D. Jones,@ CAR,Over 51.5 1Q Pass + Rush Yds,-113,Hit in 3 of his last 3 away games,100%
G. Gano,@ CAR,Over 1.5 FGM,-130,Hit in 3 of his last 3 away games,100%
G. Gano,@ CAR,Under 2.5 XPM,-185,Hit in 7 of his last 7 games,100%
T. Tracy,@ CAR,Over 17.5 Rush Att,+100,Hit in 2 of his last 2 away games,100%
B. Robinson,@ NO,Over 0.5 Anytime TD,-140,Hit in 3 of his last 4 games,75%
T. Tracy,@ CAR,Under 2.5 Receptions,-165,Hit in 2 of his last 2 games,100%
T. Tracy,@ CAR,Under 11.5 Rec Yds,-110,Hit in 3 of his last 3 games,100%
T. Johnson,@ CAR,Over 2.5 Receptions,-122,Hit in 2 of his last 2 games,100%
T. Johnson,@ CAR,Over 2.5 Receptions,-122,Hit in 2 of his last 2 away games,100%
M. Nabers,@ CAR,Under 71.5 Rec Yds,-113,Hit in 3 of his last 3 games,100%
B. Young,VS NYG,Over 0.5 Int,-140,Hit in 2 of his last 2 games,100%
T. Tracy,@ CAR,Over 74.5 Rush Yds,-120,Hit in 2 of his last 2 away games,100%
B. Young,VS NYG,Under 9.5 Rush Yds,-113,Hit in 5 of his last 5 games,100%
C. Hubbard,VS NYG,Under 2.5 Receptions,-140,Hit in 3 of his last 3 games,100%
D. Moore,VS NYG,Over 0.5 1Q Rec Yds,+140,Hit in 2 of his last 2 home games,100%
J. Sanders,VS NYG,Over 28.5 Rec Yds,-113,Hit in 2 of his last 2 home games,100%
X. Legette,VS NYG,Over 0.5 Anytime TD,+330,Hit in 2 of his last 2 games,100%
J. Sanders,VS NYG,Over 2.5 Receptions,-130,Hit in 2 of his last 2 home games,100%
J. Coker,VS NYG,Over 0.5 1Q Rec Yds,+130,Hit in 3 of his last 3 games,100%
D. Jones,@ CAR,Over 30.5 Pass Att,-102,Hit in 3 of his last 3 away games,100%
W. Robinson,@ CAR,Under 38.5 Rec Yds,-113,Hit in 3 of his last 3 games,100%
T. Johnson,@ CAR,Over 23.5 Rec Yds,-113,Hit in 2 of his last 2 games,100%
B. Robinson,@ NO,Over 0.5 Anytime TD,-140,Hit in 3 of his last 4 games,75%
T. Johnson,@ CAR,Over 23.5 Rec Yds,-113,Hit in 2 of his last 2 away games,100%
J. Hyatt,@ CAR,Under 1.5 Receptions,-250,Hit in 6 of his last 6 games,100%
X. Legette,VS NYG,Under 39.5 Rec Yds,-113,Hit in 5 of his last 5 games,100%
C. Hubbard,VS NYG,Under 80.5 Rush + Rec Yds,-114,Hit in 3 of his last 3 games,100%
J. Coker,VS NYG,Over 28.5 Rec Yds,-113,Hit in 2 of his last 2 games,100%
B. Young,VS NYG,Over 0.5 Int,-140,Hit in 2 of his last 2 games,100%
J. Coker,VS NYG,Over 28.5 Rec Yds,-113,Hit in 2 of his last 2 home games,100%
D. Jones,@ CAR,Over 198.5 Pass Yds,-113,Hit in 3 of his last 3 away games,100%
D. Jones,@ CAR,Over 19.5 Pass Compl,-128,Hit in 2 of his last 2 games,100%
